category,fname,prestime,Action,Context,Object,Sensory
food,food_baking.png,33.3,0.0,0.0,0.0,0.0
hobby,hobby_collecting_mushrooms.png,33.3,0.0,0.0,0.0,0.2
hobby,hobby_dancing.png,33.3,0.0,0.0,0.0,0.0
communication,communication_arguing.png,33.3,0.0,0.2,0.6,0.0
cleaning,cleaning_applyingCream.png,33.3,0.0,0.0,0.0,0.0
locomotion,locomotion_diving.png,33.3,0.0,0.0,0.0,0.6
cleaning,cleaning_blowdrying.png,33.3,0.0,0.0,0.0,0.0
locomotion,locomotion_climbing.png,33.3,0.2,0.2,0.2,0.6
food,food_cutting_zucchini.png,33.3,0.0,0.0,0.0,0.4
communication,communication_crawling.png,33.3,0.8,0.4,0.4,0.0
food,food_baking.png,100.0,1.0,0.4,0.8,0.0
hobby,hobby_collecting_mushrooms.png,100.0,0.2,1.0,0.8,0.0
hobby,hobby_dancing.png,100.0,1.0,1.0,1.0,0.0
communication,communication_arguing.png,100.0,0.6,0.8,0.6,0.0
cleaning,cleaning_applyingCream.png,100.0,0.6,0.4,0.0,0.0
locomotion,locomotion_diving.png,100.0,0.6,0.2,0.4,0.4
cleaning,cleaning_blowdrying.png,100.0,0.6,0.6,0.8,0.2
locomotion,locomotion_climbing.png,100.0,1.0,1.0,0.8,0.2
food,food_cutting_zucchini.png,100.0,0.2,0.8,0.6,0.0
communication,communication_crawling.png,100.0,0.8,1.0,0.8,0.0
food,food_baking.png,83.3,0.2,0.0,0.4,0.0
hobby,hobby_collecting_mushrooms.png,83.3,0.0,1.0,1.0,0.0
hobby,hobby_dancing.png,83.3,1.0,0.8,0.8,0.4
communication,communication_arguing.png,83.3,0.4,0.8,0.8,0.2
cleaning,cleaning_applyingCream.png,83.3,0.0,0.0,0.2,0.0
locomotion,locomotion_diving.png,83.3,0.2,0.0,0.0,0.6
cleaning,cleaning_blowdrying.png,83.3,0.4,0.4,0.0,0.0
locomotion,locomotion_climbing.png,83.3,1.0,0.8,0.4,0.0
food,food_cutting_zucchini.png,83.3,0.2,0.4,0.6,0.2
communication,communication_crawling.png,83.3,0.8,0.0,0.4,0.0
food,food_baking.png,66.7,0.2,0.0,0.4,0.0
hobby,hobby_collecting_mushrooms.png,66.7,0.2,1.0,0.8,0.0
hobby,hobby_dancing.png,66.7,0.8,0.8,0.6,0.4
communication,communication_arguing.png,66.7,0.4,1.0,1.0,0.0
cleaning,cleaning_applyingCream.png,66.7,0.2,0.6,0.2,0.0
locomotion,locomotion_diving.png,66.7,0.0,0.0,0.0,0.6
cleaning,cleaning_blowdrying.png,66.7,0.6,0.6,0.4,0.0
locomotion,locomotion_climbing.png,66.7,0.8,0.8,0.4,0.2
food,food_cutting_zucchini.png,66.7,0.0,0.2,0.8,0.0
communication,communication_crawling.png,66.7,0.6,0.4,0.4,0.0
food,food_baking.png,50.0,0.6,0.2,0.6,0.4
hobby,hobby_collecting_mushrooms.png,50.0,0.0,0.6,0.0,0.4
hobby,hobby_dancing.png,50.0,0.2,0.4,0.4,0.0
communication,communication_arguing.png,50.0,0.2,0.8,0.6,0.2
cleaning,cleaning_applyingCream.png,50.0,0.0,0.0,0.0,0.0
locomotion,locomotion_diving.png,50.0,0.0,0.0,0.0,0.2
cleaning,cleaning_blowdrying.png,50.0,0.4,0.2,0.0,0.0
locomotion,locomotion_climbing.png,50.0,0.6,0.4,0.2,0.4
food,food_cutting_zucchini.png,50.0,0.0,0.0,0.0,0.4
communication,communication_crawling.png,50.0,0.8,0.4,0.2,0.2
food,food_baking.png,500.0,1.0,1.0,1.0,0.0
hobby,hobby_collecting_mushrooms.png,500.0,0.4,1.0,1.0,0.0
hobby,hobby_dancing.png,500.0,0.6,1.0,0.8,0.2
communication,communication_arguing.png,500.0,1.0,1.0,1.0,0.0
cleaning,cleaning_applyingCream.png,500.0,0.6,0.8,0.2,0.2
locomotion,locomotion_diving.png,500.0,1.0,0.8,0.6,0.4
cleaning,cleaning_blowdrying.png,500.0,1.0,0.6,0.8,0.0
locomotion,locomotion_climbing.png,500.0,1.0,1.0,1.0,0.0
food,food_cutting_zucchini.png,500.0,0.4,1.0,0.8,0.0
communication,communication_crawling.png,500.0,1.0,1.0,1.0,0.0
