category,fname,prestime,Action_correct,Action_none,Action_wrong,Context_correct,Context_none,Context_wrong,Object_correct,Object_none,Object_wrong,Sensory_correct,Sensory_none,Sensory_wrong
food,food_baking.png,33.3,0,2,3,0,5,0,0,2,3,0,4,1
hobby,hobby_collecting_mushrooms.png,33.3,0,5,0,0,4,1,0,5,0,1,2,2
hobby,hobby_dancing.png,33.3,0,3,2,0,4,1,0,3,2,0,5,0
communication,communication_arguing.png,33.3,0,2,3,1,4,0,3,2,0,0,5,0
cleaning,cleaning_applyingCream.png,33.3,0,3,2,0,5,0,0,4,1,0,5,0
locomotion,locomotion_diving.png,33.3,0,5,0,0,5,0,0,5,0,3,1,1
cleaning,cleaning_blowdrying.png,33.3,0,3,2,0,4,1,0,3,2,0,4,1
locomotion,locomotion_climbing.png,33.3,1,4,0,1,4,0,1,2,2,3,2,0
food,food_cutting_zucchini.png,33.3,0,3,2,0,5,0,0,3,2,2,3,0
communication,communication_crawling.png,33.3,4,1,0,2,3,0,2,2,1,0,5,0
food,food_baking.png,100.0,5,0,0,2,3,0,4,0,1,0,5,0
hobby,hobby_collecting_mushrooms.png,100.0,1,3,1,5,0,0,4,1,0,0,5,0
hobby,hobby_dancing.png,100.0,5,0,0,5,0,0,5,0,0,0,5,0
communication,communication_arguing.png,100.0,3,0,2,4,1,0,3,1,1,0,5,0
cleaning,cleaning_applyingCream.png,100.0,3,0,2,2,2,1,0,4,1,0,5,0
locomotion,locomotion_diving.png,100.0,3,2,0,1,4,0,2,3,0,2,3,0
cleaning,cleaning_blowdrying.png,100.0,3,0,2,3,2,0,4,1,0,1,4,0
locomotion,locomotion_climbing.png,100.0,5,0,0,5,0,0,4,1,0,1,4,0
food,food_cutting_zucchini.png,100.0,1,1,3,4,1,0,3,1,1,0,5,0
communication,communication_crawling.png,100.0,4,1,0,5,0,0,4,1,0,0,5,0
food,food_baking.png,83.3,1,0,4,0,5,0,2,1,2,0,5,0
hobby,hobby_collecting_mushrooms.png,83.3,0,3,2,5,0,0,5,0,0,0,5,0
hobby,hobby_dancing.png,83.3,5,0,0,4,0,1,4,1,0,2,3,0
communication,communication_arguing.png,83.3,2,2,1,4,1,0,4,1,0,1,4,0
cleaning,cleaning_applyingCream.png,83.3,0,3,2,0,4,1,1,2,2,0,5,0
locomotion,locomotion_diving.png,83.3,1,2,2,0,5,0,0,5,0,3,1,1
cleaning,cleaning_blowdrying.png,83.3,2,0,3,2,3,0,0,3,2,0,5,0
locomotion,locomotion_climbing.png,83.3,5,0,0,4,0,1,2,3,0,0,5,0
food,food_cutting_zucchini.png,83.3,1,1,3,2,3,0,3,1,1,1,4,0
communication,communication_crawling.png,83.3,4,1,0,0,2,3,2,2,1,0,5,0
food,food_baking.png,66.7,1,1,3,0,4,1,2,0,3,0,5,0
hobby,hobby_collecting_mushrooms.png,66.7,1,2,2,5,0,0,4,1,0,0,5,0
hobby,hobby_dancing.png,66.7,4,1,0,4,0,1,3,2,0,2,3,0
communication,communication_arguing.png,66.7,2,0,3,5,0,0,5,0,0,0,5,0
cleaning,cleaning_applyingCream.png,66.7,1,2,2,3,2,0,1,2,2,0,5,0
locomotion,locomotion_diving.png,66.7,0,5,0,0,5,0,0,5,0,3,2,0
cleaning,cleaning_blowdrying.png,66.7,3,0,2,3,2,0,2,2,1,0,5,0
locomotion,locomotion_climbing.png,66.7,4,1,0,4,1,0,2,1,2,1,4,0
food,food_cutting_zucchini.png,66.7,0,3,2,1,3,1,4,1,0,0,5,0
communication,communication_crawling.png,66.7,3,2,0,2,3,0,2,3,0,0,5,0
food,food_baking.png,50.0,3,0,2,1,3,1,3,0,2,2,3,0
hobby,hobby_collecting_mushrooms.png,50.0,0,5,0,3,1,1,0,5,0,2,3,0
hobby,hobby_dancing.png,50.0,1,1,3,2,1,2,2,2,1,0,5,0
communication,communication_arguing.png,50.0,1,1,3,4,1,0,3,1,1,1,4,0
cleaning,cleaning_applyingCream.png,50.0,0,3,2,0,5,0,0,5,0,0,4,1
locomotion,locomotion_diving.png,50.0,0,5,0,0,5,0,0,5,0,1,4,0
cleaning,cleaning_blowdrying.png,50.0,2,1,2,1,4,0,0,2,3,0,5,0
locomotion,locomotion_climbing.png,50.0,3,2,0,2,2,1,1,4,0,2,3,0
food,food_cutting_zucchini.png,50.0,0,3,2,0,4,1,0,3,2,2,3,0
communication,communication_crawling.png,50.0,4,1,0,2,3,0,1,4,0,1,4,0
food,food_baking.png,500.0,5,0,0,5,0,0,5,0,0,0,5,0
hobby,hobby_collecting_mushrooms.png,500.0,2,2,1,5,0,0,5,0,0,0,5,0
hobby,hobby_dancing.png,500.0,3,1,1,5,0,0,4,0,1,1,4,0
communication,communication_arguing.png,500.0,5,0,0,5,0,0,5,0,0,0,5,0
cleaning,cleaning_applyingCream.png,500.0,3,0,2,4,0,1,1,3,1,1,4,0
locomotion,locomotion_diving.png,500.0,5,0,0,4,1,0,3,1,1,2,3,0
cleaning,cleaning_blowdrying.png,500.0,5,0,0,3,2,0,4,1,0,0,5,0
locomotion,locomotion_climbing.png,500.0,5,0,0,5,0,0,5,0,0,0,5,0
food,food_cutting_zucchini.png,500.0,2,0,3,5,0,0,4,1,0,0,5,0
communication,communication_crawling.png,500.0,5,0,0,5,0,0,5,0,0,0,5,0
